SurveyIDR12,SiteID,Total20,Total40,Detected20,Detected40,NMPresent,TotalMiner20,TotalMiner40,DetectedMiner20,DetectedMiner40,Threshold20m,Threshold40m
BS1_SpringE_2020,BS1,37,46,9,10,1,8,10,1,1,1,1
BS1_SpringL_2019,BS1,76,132,17,24,1,5,7,1,1,1,1
BS1_SpringL_2020,BS1,40,54,9,11,1,10,17,1,1,1,1
BS1_SpringL_2021,BS1,63,75,24,29,0,0,0,0,0,0,0
BS1_Summer_2019,BS1,29,79,16,22,1,2,3,1,1,1,0
BS1_Summer_2020,BS1,47,60,15,20,0,0,0,0,0,0,0
BS1_Summer_2021,BS1,49,60,22,27,0,0,0,0,0,0,0
BS1_Winter_2019,BS1,49,98,9,12,1,11,22,1,1,1,1
BS1_Winter_2020,BS1,43,52,9,11,1,8,10,1,1,1,1
BS10_Autumn_2021,BS10,49,57,13,14,0,0,0,0,0,0,0
BS10_SpringE_2020,BS10,53,67,17,22,1,0,1,0,1,0,0
BS10_SpringL_2019,BS10,24,35,12,14,1,3,3,1,1,1,0
BS10_SpringL_2020,BS10,41,57,16,21,1,0,1,0,1,0,0
BS10_SpringL_2021,BS10,45,66,19,24,1,6,6,1,1,1,1
BS10_Summer_2019,BS10,44,81,13,18,1,8,9,1,1,1,1
BS10_Summer_2020,BS10,81,103,23,27,0,0,0,0,0,0,0
BS10_Summer_2021,BS10,20,30,8,10,0,0,0,0,0,0,0
BS10_Winter_2019,BS10,58,134,16,22,1,0,11,0,1,0,1
BS10_Winter_2020,BS10,53,67,18,24,1,0,1,0,1,0,0
BS2_Autumn_2021,BS2,32,36,8,8,1,4,4,1,1,1,1
BS2_SpringE_2020,BS2,36,60,11,12,1,4,7,1,1,1,1
BS2_SpringL_2019,BS2,35,68,12,15,0,0,0,0,0,0,0
BS2_SpringL_2020,BS2,40,64,10,12,1,4,7,1,1,1,1
BS2_SpringL_2021,BS2,36,43,14,14,1,11,13,1,1,1,1
BS2_Summer_2019,BS2,36,53,11,15,1,6,10,1,1,1,1
BS2_Summer_2020,BS2,13,15,4,5,1,6,6,1,1,1,1
BS2_Summer_2021,BS2,15,21,5,5,0,0,0,0,0,0,0
BS2_Winter_2019,BS2,39,85,9,12,1,11,25,1,1,1,1
BS2_Winter_2020,BS2,34,61,9,12,1,4,7,1,1,1,1
BS3_Autumn_2021,BS3,32,36,9,9,0,0,0,0,0,0,0
BS3_SpringE_2020,BS3,43,56,14,15,1,5,5,1,1,1,1
BS3_SpringL_2019,BS3,48,77,18,22,1,1,1,1,1,0,0
BS3_SpringL_2020,BS3,36,48,13,14,0,0,0,0,0,0,0
BS3_SpringL_2021,BS3,43,57,17,21,1,3,3,1,1,1,0
BS3_Summer_2019,BS3,74,99,20,25,0,0,0,0,0,0,0
BS3_Summer_2020,BS3,55,56,16,17,0,0,0,0,0,0,0
BS3_Summer_2021,BS3,43,65,19,20,0,0,0,0,0,0,0
BS3_Winter_2019,BS3,25,80,10,16,1,4,14,1,1,1,1
BS3_Winter_2020,BS3,49,68,16,17,1,5,5,1,1,1,1
BS4_Autumn_2021,BS4,23,32,9,12,1,2,2,1,1,1,0
BS4_SpringE_2020,BS4,29,42,11,14,1,0,4,0,1,0,1
BS4_SpringL_2019,BS4,32,44,13,17,0,0,0,0,0,0,0
BS4_SpringL_2020,BS4,41,61,12,13,0,0,0,0,0,0,0
BS4_SpringL_2021,BS4,17,29,8,14,0,0,0,0,0,0,0
BS4_Summer_2019,BS4,59,99,21,23,1,4,5,1,1,1,1
BS4_Summer_2020,BS4,22,22,11,11,0,0,0,0,0,0,0
BS4_Summer_2021,BS4,28,34,12,14,0,0,0,0,0,0,0
BS4_Winter_2019,BS4,47,97,17,19,1,3,7,1,1,1,1
BS4_Winter_2020,BS4,28,43,11,15,1,0,4,0,1,0,1
BS5_Autumn_2021,BS5,16,17,7,7,0,0,0,0,0,0,0
BS5_SpringE_2020,BS5,33,41,12,13,1,3,3,1,1,1,0
BS5_SpringL_2019,BS5,28,46,12,13,0,0,0,0,0,0,0
BS5_SpringL_2020,BS5,34,47,12,13,1,6,13,1,1,1,1
BS5_SpringL_2021,BS5,26,31,13,15,0,0,0,0,0,0,0
BS5_Summer_2019,BS5,24,43,12,15,1,3,4,1,1,1,1
BS5_Summer_2020,BS5,16,18,10,12,1,3,3,1,1,1,0
